run,task,best_model,labels,accuracy,macro_f1,auc
outputs_v2_50pct_best,binary_ai_vs_nature,lightgbm,ai|nature,0.991125,0.9911249996148004,0.9995574097222224
outputs_v2_50pct_best,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.9984166666666666,0.9984164142285988,
outputs_v2_5pct_block_dct_flat,binary_ai_vs_nature,lightgbm,ai|nature,0.93625,0.9362460043068672,0.9850909722222224
outputs_v2_5pct_block_dct_flat,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.9766666666666668,0.9766393911492632,
outputs_v2_5pct_color_freq_flat,binary_ai_vs_nature,lightgbm,ai|nature,0.9833333333333332,0.9833333333333332,0.9983520833333334
outputs_v2_5pct_color_freq_flat,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.9941666666666666,0.9941610740119337,
outputs_v2_5pct_fusion_freq_binary_expert_ensemble,binary_ai_vs_nature,lightgbm_binary_expert_ensemble,ai|nature,0.9925,0.9924999791666088,0.9993097222222224
outputs_v2_5pct_fusion_freq_binary_expert_ensemble,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.9975,0.9974986064776106,
outputs_v2_5pct_fusion_freq_flat,binary_ai_vs_nature,lightgbm,ai|nature,0.9870833333333332,0.987083331090856,0.9989402777777776
outputs_v2_5pct_fusion_freq_flat,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.9966666666666668,0.9966652731442772,
outputs_v2_5pct_fusion_freq_hierarchical_attribution,binary_ai_vs_nature,lightgbm,ai|nature,0.9875,0.9874998611095678,0.9989402777777776
outputs_v2_5pct_fusion_freq_pairwise_ovo_attribution,binary_ai_vs_nature,lightgbm,ai|nature,0.9870833333333332,0.987083331090856,0.9989402777777776
outputs_v2_5pct_fusion_freq_pairwise_ovo_attribution,ai_subsource_attribution,lightgbm_pairwise_ovo,ADM|BigGAN|VQDM|glide,0.9975,0.9974986064776106,
outputs_v2_5pct_multiscale_freq_flat,binary_ai_vs_nature,lightgbm,ai|nature,0.9204166666666668,0.9204033867456012,0.9757020833333332
outputs_v2_5pct_multiscale_freq_flat,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.9016666666666666,0.900663155027844,
outputs_v2_5pct_residual_freq_flat,binary_ai_vs_nature,lightgbm,ai|nature,0.90875,0.9087499841579834,0.9680486111111112
outputs_v2_5pct_residual_freq_flat,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8958333333333334,0.8951162258650762,
outputs_v2_full_best,binary_ai_vs_nature,lightgbm,ai|nature,0.99125,0.9912499992556424,0.9996183090277778
outputs_v2_full_best,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.9990833333333332,0.9990832351600708,
outputs_v2_model_smoke_binary_expert_ensemble,binary_ai_vs_nature,lightgbm_binary_expert_ensemble,ai|nature,0.9125,0.9125,0.9604513888888888
outputs_v2_model_smoke_binary_expert_ensemble,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8791666666666667,0.8759265428743431,
outputs_v2_model_smoke_hierarchical_attribution,binary_ai_vs_nature,lightgbm,ai|nature,0.8770833333333333,0.8770785317134784,0.9422222222222224
