run,task,labels,model,accuracy,macro_f1,auc
outputs_4gen_5pct_ablation_no_dct,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,random_forest,0.8675,0.8663121382278789,
outputs_4gen_5pct_ablation_no_dct,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,logreg,0.8325,0.8292372129653982,
outputs_4gen_5pct_ablation_patch_high_freq,binary_ai_vs_nature,ai|nature,lightgbm,0.7783333333333333,0.7727557494503992,0.8242069444444444
outputs_4gen_5pct_ablation_patch_high_freq,binary_ai_vs_nature,ai|nature,random_forest,0.77,0.7666396103896104,0.8117111111111113
outputs_4gen_5pct_ablation_patch_high_freq,binary_ai_vs_nature,ai|nature,logreg,0.7670833333333333,0.7655355012910752,0.8053645833333334
outputs_4gen_5pct_ablation_patch_high_freq,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.5408333333333334,0.5316758572871106,
outputs_4gen_5pct_ablation_patch_high_freq,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,logreg,0.5308333333333334,0.5269036682374224,
outputs_4gen_5pct_ablation_patch_high_freq,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,random_forest,0.4958333333333333,0.4904438169348629,
outputs_4gen_5pct_seed123,binary_ai_vs_nature,ai|nature,lightgbm,0.9054166666666666,0.9053987811237229,0.9593673611111112
outputs_4gen_5pct_seed123,binary_ai_vs_nature,ai|nature,random_forest,0.8933333333333333,0.8932793059819867,0.9544020833333332
outputs_4gen_5pct_seed123,binary_ai_vs_nature,ai|nature,logreg,0.8766666666666667,0.87662134214583,0.9345118055555556
outputs_4gen_5pct_seed123,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.8925,0.892102760141319,
outputs_4gen_5pct_seed123,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,random_forest,0.8791666666666667,0.8782458586883028,
outputs_4gen_5pct_seed123,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,logreg,0.8483333333333334,0.8466026876336397,
outputs_4gen_5pct_seed2026,binary_ai_vs_nature,ai|nature,lightgbm,0.8845833333333334,0.8844705115672857,0.9547486111111112
outputs_4gen_5pct_seed2026,binary_ai_vs_nature,ai|nature,random_forest,0.8725,0.8723283525628901,0.9470142361111112
outputs_4gen_5pct_seed2026,binary_ai_vs_nature,ai|nature,logreg,0.86375,0.8636437320682733,0.9357041666666668
outputs_4gen_5pct_seed2026,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.8841666666666667,0.8840329166181361,
outputs_4gen_5pct_seed2026,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,random_forest,0.8733333333333333,0.8728120849331005,
outputs_4gen_5pct_seed2026,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,logreg,0.8658333333333333,0.864612176034908,
outputs_4gen_5pct_tune_baseline_all,binary_ai_vs_nature,ai|nature,lightgbm,0.8795833333333334,0.8795657490963524,0.9564506944444444
outputs_4gen_5pct_tune_baseline_all,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.8791666666666667,0.8781396179492571,
outputs_4gen_5pct_tune_baseline_no_dct,binary_ai_vs_nature,ai|nature,lightgbm,0.8791666666666667,0.8791524838678983,0.9541958333333334
outputs_4gen_5pct_tune_baseline_no_dct,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.8766666666666667,0.8758469834171987,
outputs_4gen_5pct_tune_large_all,binary_ai_vs_nature,ai|nature,lightgbm,0.8908333333333334,0.8908241595300717,0.9585548611111112
outputs_4gen_5pct_tune_large_all,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.8758333333333334,0.8752788475904498,
outputs_4gen_5pct_tune_large_no_dct,binary_ai_vs_nature,ai|nature,lightgbm,0.885,0.8849865018880687,0.9559368055555556
outputs_4gen_5pct_tune_large_no_dct,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.87,0.8692591891637045,
outputs_4gen_5pct_tune_regularized_all,binary_ai_vs_nature,ai|nature,lightgbm,0.8854166666666666,0.8854078932084904,0.958913888888889
outputs_4gen_5pct_tune_regularized_all,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.8791666666666667,0.8783545538689547,
outputs_4gen_5pct_tune_regularized_no_dct,binary_ai_vs_nature,ai|nature,lightgbm,0.8866666666666667,0.8866382475051037,0.9553652777777778
outputs_4gen_5pct_tune_regularized_no_dct,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.8766666666666667,0.8760543511433309,
outputs_4gen_5pct_tune_wide_all,binary_ai_vs_nature,ai|nature,lightgbm,0.8883333333333333,0.8883305415968732,0.9597631944444444
outputs_4gen_5pct_tune_wide_all,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.8808333333333334,0.8797190826454865,
outputs_4gen_5pct_tune_wide_no_dct,binary_ai_vs_nature,ai|nature,lightgbm,0.88625,0.8862455564670495,0.9570875
outputs_4gen_5pct_tune_wide_no_dct,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.8766666666666667,0.8757504679192817,
outputs_4gen_full_best,binary_ai_vs_nature,ai|nature,lightgbm,0.8997291666666667,0.899714775693452,0.9639623645833332
outputs_4gen_full_best,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9087916666666668,0.9085996400582268,
outputs_cache_smoke_write,binary_ai_vs_nature,ai|nature,lightgbm,0.5,0.3333333333333333,1.0
outputs_cache_smoke_write,binary_ai_vs_nature,ai|nature,random_forest,0.5,0.3333333333333333,1.0
outputs_cache_smoke_write,binary_ai_vs_nature,ai|nature,logreg,0.5,0.3333333333333333,1.0
outputs_cache_smoke_write,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,logreg,0.75,0.6666666666666666,
outputs_cache_smoke_write,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,random_forest,0.5,0.5,
outputs_cache_smoke_write,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.25,0.1,
outputs_parallel_smoke_min,binary_ai_vs_nature,ai|nature,random_forest,0.75,0.7333333333333334,0.5
outputs_parallel_smoke_min,binary_ai_vs_nature,ai|nature,lightgbm,0.5,0.3333333333333333,0.5
outputs_parallel_smoke_min,binary_ai_vs_nature,ai|nature,logreg,0.5,0.3333333333333333,1.0
outputs_parallel_smoke_min,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,random_forest,1.0,1.0,
outputs_parallel_smoke_min,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.75,0.6666666666666666,
