threshold,coverage,n_covered,accuracy,macro_f1
0.79,0.9777083333333332,46930,0.9974856168761986,0.9974856164195414
0.8,0.9762708333333332,46861,0.99771665137321,0.9977166513357774
0.81,0.9747083333333332,46786,0.9978839823878938,0.997883982340526
0.8200000000000001,0.9730625,46707,0.9980516839017706,0.9980516838874812
0.8300000000000001,0.9714791666666668,46631,0.9981557333104588,0.9981557331196242
0.84,0.9698125,46551,0.9983459001954844,0.998345899508501
0.85,0.9679791666666666,46463,0.9984934248757076,0.998493423920319
0.86,0.9657083333333332,46354,0.998597747767183,0.9985977470564936
0.87,0.9634166666666668,46244,0.9986376611019808,0.9986376594450084
0.88,0.9605416666666666,46106,0.9986986509348024,0.9986986482681424
0.89,0.9576458333333332,45967,0.998781734722736,0.9987817311243724
0.9,0.954375,45810,0.998930364549225,0.998930360866625
0.91,0.9496041666666668,45581,0.9990566244707224,0.9990566193688336
0.92,0.9446458333333332,45343,0.9992281057715634,0.9992280998110764
0.93,0.9386666666666666,45056,0.9993785511363636,0.999378539851132
0.94,0.9315833333333332,44716,0.9994856427229628,0.9994856270285108
0.95,0.9233333333333332,44320,0.9995712996389892,0.9995712754360934
0.96,0.9119166666666668,43772,0.999657315178653,0.9996572889405226
0.97,0.8941875,42921,0.9997670138160808,0.9997669789523312
0.98,0.8667291666666667,41603,0.999831742903156,0.999831681902869
0.99,0.8080833333333334,38788,0.9999226564916984,0.999922555456588
