threshold,coverage,n_covered,accuracy,macro_f1
0.38,1.0,24000,0.9990833333333332,0.9990832351600708
0.39,1.0,24000,0.9990833333333332,0.9990832351600708
0.4,1.0,24000,0.9990833333333332,0.9990832351600708
0.41,1.0,24000,0.9990833333333332,0.9990832351600708
0.42,1.0,24000,0.9990833333333332,0.9990832351600708
0.43,1.0,24000,0.9990833333333332,0.9990832351600708
0.44,1.0,24000,0.9990833333333332,0.9990832351600708
0.45,1.0,24000,0.9990833333333332,0.9990832351600708
0.46,1.0,24000,0.9990833333333332,0.9990832351600708
0.47,1.0,24000,0.9990833333333332,0.9990832351600708
0.48,1.0,24000,0.9990833333333332,0.9990832351600708
0.49,1.0,24000,0.9990833333333332,0.9990832351600708
0.5,1.0,24000,0.9990833333333332,0.9990832351600708
0.51,1.0,24000,0.9990833333333332,0.9990832351600708
0.52,1.0,24000,0.9990833333333332,0.9990832351600708
0.53,0.9999166666666668,23998,0.9990832569380782,0.9990831519261024
0.54,0.9999166666666668,23998,0.9990832569380782,0.9990831519261024
0.55,0.999875,23997,0.9990832187356752,0.9990830927406014
0.56,0.9997916666666666,23995,0.9990831423213168,0.9990829987957506
0.5700000000000001,0.9997916666666666,23995,0.9990831423213168,0.9990829987957506
0.58,0.99975,23994,0.9990831041093606,0.9990829502736372
0.59,0.9996666666666668,23992,0.999083027675892,0.99908284251033
0.6,0.9996666666666668,23992,0.999083027675892,0.99908284251033
0.61,0.9996666666666668,23992,0.999083027675892,0.99908284251033
0.62,0.9995833333333334,23990,0.999082951229679,0.9990827240009204
0.63,0.9995833333333334,23990,0.999082951229679,0.9990827240009204
0.64,0.9995416666666668,23989,0.9990829130017924,0.9990826647165214
0.65,0.9995416666666668,23989,0.9990829130017924,0.9990826647165214
0.66,0.9995416666666668,23989,0.9990829130017924,0.9990826647165214
0.67,0.9995,23988,0.9991245622811404,0.9991243140374682
0.68,0.9995,23988,0.9991245622811404,0.9991243140374682
0.6900000000000001,0.9995,23988,0.9991245622811404,0.9991243140374682
0.7000000000000001,0.9995,23988,0.9991245622811404,0.9991243140374682
0.71,0.9995,23988,0.9991245622811404,0.9991243140374682
0.72,0.9995,23988,0.9991245622811404,0.9991243140374682
0.73,0.9995,23988,0.9991245622811404,0.9991243140374682
0.74,0.9994166666666666,23986,0.9991244892854164,0.999124202368708
0.75,0.9994166666666666,23986,0.9991244892854164,0.999124202368708
0.76,0.999375,23985,0.9991244527829892,0.9991241465063316
0.77,0.999375,23985,0.9991244527829892,0.9991241465063316
0.78,0.9993333333333332,23984,0.9991661107404936,0.999165771526558
0.79,0.9993333333333332,23984,0.9991661107404936,0.999165771526558
0.8,0.99925,23982,0.9992494370778084,0.999249118838739
0.81,0.99925,23982,0.9992494370778084,0.999249118838739
0.8200000000000001,0.9992083333333334,23981,0.9992494057795756,0.9992490875574652
0.8300000000000001,0.9991666666666666,23980,0.9992910758965804,0.9992907472698374
0.84,0.9991666666666666,23980,0.9992910758965804,0.9992907472698374
0.85,0.9991666666666666,23980,0.9992910758965804,0.9992907472698374
0.86,0.9990833333333332,23978,0.9993327216615232,0.999332365016118
0.87,0.9990833333333332,23978,0.9993327216615232,0.999332365016118
0.88,0.9989583333333332,23975,0.9993743482794578,0.9993740002069712
0.89,0.9989583333333332,23975,0.9993743482794578,0.9993740002069712
0.9,0.998875,23973,0.999416009677554,0.9994156773557272
0.91,0.998875,23973,0.999416009677554,0.9994156773557272
0.92,0.9987083333333332,23969,0.9994993533313864,0.9994990105357686
0.93,0.998625,23967,0.999499311553386,0.9994989688204202
0.94,0.998625,23967,0.999499311553386,0.9994989688204202
0.95,0.9985416666666668,23965,0.9994992697684124,0.9994989164031344
0.96,0.998375,23961,0.9995826551479488,0.9995823820220312
0.97,0.9980833333333332,23954,0.9996242798697504,0.9996239223070308
0.98,0.9979166666666668,23950,0.999624217118998,0.9996238278610544
0.99,0.9970833333333332,23930,0.9996656916005014,0.9996651567195692
